Random Seed,NSamples,Feature,Shapley Value,Entity,Tolerance
42,7000,UV254,-0.13649677170647567,13.0,0.075
42,7000,Pruned Events,0.07669989532894617,13.0,0.075
42,7000,Pressione (atm),0.011611649725172923,14.0,0.05
42,7000,TOCeq (mg/l),0.06447191314091794,14.0,0.05
42,7000,DOCeq (mg/l),0.0,14.0,0.05
42,7000,Turbidity (FTU),1.1800087340294356,14.0,0.05
42,7000,Conductivity (uS/cm),0.20727820528878027,14.0,0.05
42,7000,Temperature (°C),-0.16758197810914788,14.0,0.05
42,7000,pH,0.28603286762086266,14.0,0.05
42,7000,Free Chlorine (mg/l),0.031322347171723,14.0,0.05
42,7000,nitrati,-0.03403922300490114,14.0,0.05
42,7000,UV254,-0.12049159700908363,14.0,0.05
42,7000,Pressione (atm),0.011611649725172923,14.0,0.075
42,7000,TOCeq (mg/l),0.06447191314091794,14.0,0.075
42,7000,DOCeq (mg/l),0.0,14.0,0.075
42,7000,Turbidity (FTU),1.1800087340294356,14.0,0.075
42,7000,Conductivity (uS/cm),0.20727820528878027,14.0,0.075
42,7000,Temperature (°C),-0.16758197810914788,14.0,0.075
42,7000,pH,0.28603286762086266,14.0,0.075
42,7000,Free Chlorine (mg/l),0.031322347171723,14.0,0.075
42,7000,nitrati,-0.03403922300490114,14.0,0.075
42,7000,UV254,-0.12049159700908363,14.0,0.075
42,7000,Pressione (atm),0.00695067719807807,15.0,0.05
42,7000,TOCeq (mg/l),0.08940019115569098,15.0,0.05
42,7000,DOCeq (mg/l),0.0,15.0,0.05
42,7000,Turbidity (FTU),1.2196737268614375,15.0,0.05
42,7000,Conductivity (uS/cm),0.21897906594806182,15.0,0.05
42,7000,Temperature (°C),-0.1883883900112574,15.0,0.05
42,7000,pH,0.32810089777386453,15.0,0.05
42,7000,Free Chlorine (mg/l),0.09866288067802542,15.0,0.05
42,7000,nitrati,-0.031572024973612,15.0,0.05
42,7000,UV254,-0.07599024072525973,15.0,0.05
42,7000,Pressione (atm),0.007017410936809445,15.0,0.075
42,7000,TOCeq (mg/l),0.08348264183316952,15.0,0.075
42,7000,DOCeq (mg/l),0.0,15.0,0.075
42,7000,Turbidity (FTU),1.1819264697650134,15.0,0.075
42,7000,Conductivity (uS/cm),0.22610919872919652,15.0,0.075
42,7000,Temperature (°C),-0.1873297901380636,15.0,0.075
42,7000,pH,0.32727786681008686,15.0,0.075
42,7000,Free Chlorine (mg/l),0.09367764809774941,15.0,0.075
42,7000,nitrati,-0.03434915996733158,15.0,0.075
42,7000,UV254,-0.08307807767201991,15.0,0.075
42,7000,Pruned Events,0.05108257551041917,15.0,0.075
42,7000,Pressione (atm),0.006355396338872166,16.0,0.05
42,7000,TOCeq (mg/l),0.09411564838318631,16.0,0.05
42,7000,DOCeq (mg/l),0.0,16.0,0.05
42,7000,Turbidity (FTU),1.2177121099971582,16.0,0.05
42,7000,Conductivity (uS/cm),0.2081342646053851,16.0,0.05
42,7000,Temperature (°C),-0.18316661687124347,16.0,0.05
42,7000,pH,0.312645601658595,16.0,0.05
42,7000,Free Chlorine (mg/l),0.07292064087731531,16.0,0.05
42,7000,nitrati,-0.032822456813994094,16.0,0.05
42,7000,UV254,-0.06717954987571417,16.0,0.05
42,7000,Pressione (atm),0.0066306865404526195,16.0,0.075
42,7000,TOCeq (mg/l),0.08860421729466264,16.0,0.075
42,7000,DOCeq (mg/l),0.0,16.0,0.075
42,7000,Turbidity (FTU),1.176042067815389,16.0,0.075
42,7000,Conductivity (uS/cm),0.21428425293120051,16.0,0.075
42,7000,Temperature (°C),-0.18168068537636486,16.0,0.075
42,7000,pH,0.310283059165591,16.0,0.075
42,7000,Free Chlorine (mg/l),0.06903534068001617,16.0,0.075
42,7000,nitrati,-0.03579985243933564,16.0,0.075
42,7000,UV254,-0.0724190664669828,16.0,0.075
42,7000,Pruned Events,0.05373501815493209,16.0,0.075
42,7000,Pressione (atm),0.009329856766595812,17.0,0.05
42,7000,TOCeq (mg/l),0.07496391496961141,17.0,0.05
42,7000,DOCeq (mg/l),0.0,17.0,0.05
42,7000,Turbidity (FTU),1.1937017505131062,17.0,0.05
42,7000,Conductivity (uS/cm),0.18435378036801708,17.0,0.05
42,7000,Temperature (°C),-0.17269403972322983,17.0,0.05
42,7000,pH,0.28130758338504414,17.0,0.05
42,7000,Free Chlorine (mg/l),0.06200890162634498,17.0,0.05
42,7000,nitrati,-0.03194763471209838,17.0,0.05
42,7000,UV254,-0.08254715015017844,17.0,0.05
42,7000,Pressione (atm),0.009329856766595812,17.0,0.075
42,7000,TOCeq (mg/l),0.07496391496961141,17.0,0.075
42,7000,DOCeq (mg/l),0.0,17.0,0.075
42,7000,Turbidity (FTU),1.1937017505131062,17.0,0.075
42,7000,Conductivity (uS/cm),0.18435378036801708,17.0,0.075
42,7000,Temperature (°C),-0.17269403972322983,17.0,0.075
42,7000,pH,0.28130758338504414,17.0,0.075
42,7000,Free Chlorine (mg/l),0.06200890162634498,17.0,0.075
42,7000,nitrati,-0.03194763471209838,17.0,0.075
42,7000,UV254,-0.08254715015017844,17.0,0.075
42,7000,Pressione (atm),0.014757594608125979,18.0,0.05
42,7000,TOCeq (mg/l),0.0683468097732185,18.0,0.05
42,7000,DOCeq (mg/l),0.0,18.0,0.05
42,7000,Turbidity (FTU),1.125270076025099,18.0,0.05
42,7000,Conductivity (uS/cm),0.16931750944682444,18.0,0.05
42,7000,Temperature (°C),-0.16318999642417586,18.0,0.05
42,7000,pH,0.2720949201356806,18.0,0.05
42,7000,Free Chlorine (mg/l),0.09168255840029105,18.0,0.05
42,7000,nitrati,-0.03224124567849296,18.0,0.05
42,7000,UV254,-0.08475120464960773,18.0,0.05
42,7000,Pressione (atm),0.013721066051059404,18.0,0.075
42,7000,TOCeq (mg/l),0.062273444069756025,18.0,0.075
42,7000,DOCeq (mg/l),0.0,18.0,0.075
42,7000,Turbidity (FTU),1.0748569728836195,18.0,0.075
42,7000,Conductivity (uS/cm),0.17677746670586655,18.0,0.075
42,7000,Temperature (°C),-0.16197619230028204,18.0,0.075
42,7000,pH,0.2699801999425129,18.0,0.075
42,7000,Free Chlorine (mg/l),0.08234225587239337,18.0,0.075
42,7000,nitrati,-0.03422268439853003,18.0,0.075
42,7000,UV254,-0.08980406314607665,18.0,0.075
42,7000,Pruned Events,0.06733855595664373,18.0,0.075
42,7000,Pressione (atm),0.013042982040890605,19.0,0.05
42,7000,TOCeq (mg/l),0.07708037599684692,19.0,0.05
42,7000,DOCeq (mg/l),0.0,19.0,0.05
42,7000,Turbidity (FTU),1.1067324475636546,19.0,0.05
42,7000,Conductivity (uS/cm),0.17657997854172158,19.0,0.05
42,7000,Temperature (°C),-0.17618417493880723,19.0,0.05
42,7000,pH,0.30348685374335715,19.0,0.05
42,7000,Free Chlorine (mg/l),0.15239278153767677,19.0,0.05
42,7000,nitrati,-0.03226020203696345,19.0,0.05
42,7000,UV254,-0.060997938352918,19.0,0.05
42,7000,Pressione (atm),0.012552129276214744,19.0,0.075
42,7000,TOCeq (mg/l),0.07127436361615638,19.0,0.075
42,7000,DOCeq (mg/l),0.0,19.0,0.075
42,7000,Turbidity (FTU),1.0461311968546079,19.0,0.075
42,7000,Conductivity (uS/cm),0.18701497392048844,19.0,0.075
42,7000,Temperature (°C),-0.17432784788192315,19.0,0.075
42,7000,pH,0.30399937497244944,19.0,0.075
42,7000,Free Chlorine (mg/l),0.14247876878768664,19.0,0.075
42,7000,nitrati,-0.03422401197372907,19.0,0.075
42,7000,UV254,-0.06845024748454029,19.0,0.075
42,7000,Pruned Events,0.07342440400804806,19.0,0.075
42,7000,Pressione (atm),0.01044945470870573,20.0,0.05
42,7000,TOCeq (mg/l),0.11196242608721318,20.0,0.05
42,7000,DOCeq (mg/l),0.0,20.0,0.05
42,7000,Turbidity (FTU),1.1741480569990834,20.0,0.05
42,7000,Conductivity (uS/cm),0.1912383270642103,20.0,0.05
42,7000,Temperature (°C),-0.1961543391621302,20.0,0.05
42,7000,pH,0.3445273352047763,20.0,0.05
42,7000,Free Chlorine (mg/l),0.18652928140428393,20.0,0.05
42,7000,nitrati,-0.035968187498667925,20.0,0.05
42,7000,UV254,-0.04937187735996473,20.0,0.05
42,7000,Pressione (atm),0.010396231923784555,20.0,0.075
42,7000,TOCeq (mg/l),0.10515077284404296,20.0,0.075
