Coalition,t (event index),Shapley Value,Entity
Sum of contribution of events ≤ t,-16,0.17018508911132812,5.0
Sum of contribution of events > t,-17,1.4792633056640625,5.0
Sum of contribution of events ≤ t,-17,0.12289762496948242,5.0
Sum of contribution of events > t,-18,1.551826000213623,5.0
Sum of contribution of events ≤ t,-18,0.050334930419921875,5.0
Sum of contribution of events > t,-19,1.602160930633545,5.0
Sum of contribution of events ≤ t,-19,0.0,5.0
Sum of contribution of events > t,0,0.0,6.0
Sum of contribution of events ≤ t,0,1.5951895713806152,6.0
Sum of contribution of events > t,-1,0.09320640563964844,6.0
Sum of contribution of events ≤ t,-1,1.5019831657409668,6.0
Sum of contribution of events > t,-2,0.49324488639831543,6.0
Sum of contribution of events ≤ t,-2,1.1019446849822998,6.0
Sum of contribution of events > t,-3,0.6763231754302979,6.0
Sum of contribution of events ≤ t,-3,0.9188663959503174,6.0
Sum of contribution of events > t,-4,0.7785065174102783,6.0
Sum of contribution of events ≤ t,-4,0.8166830539703369,6.0
Sum of contribution of events > t,-5,0.8517816066741943,6.0
Sum of contribution of events ≤ t,-5,0.7434079647064209,6.0
Sum of contribution of events > t,-6,0.926856279373169,6.0
Sum of contribution of events ≤ t,-6,0.6683332920074463,6.0
Sum of contribution of events > t,-7,0.9874956607818604,6.0
Sum of contribution of events ≤ t,-7,0.6076939105987549,6.0
Sum of contribution of events > t,-8,1.0553629398345947,6.0
Sum of contribution of events ≤ t,-8,0.5398266315460205,6.0
Sum of contribution of events > t,-9,1.1071622371673584,6.0
Sum of contribution of events ≤ t,-9,0.48802733421325684,6.0
Sum of contribution of events > t,-10,1.146404504776001,6.0
Sum of contribution of events ≤ t,-10,0.44878506660461426,6.0
Sum of contribution of events > t,-11,1.1951477527618408,6.0
Sum of contribution of events ≤ t,-11,0.4000418186187744,6.0
Sum of contribution of events > t,-12,1.238370656967163,6.0
Sum of contribution of events ≤ t,-12,0.35681891441345215,6.0
Sum of contribution of events > t,-13,1.2915477752685547,6.0
Sum of contribution of events ≤ t,-13,0.30364179611206055,6.0
Sum of contribution of events > t,-14,1.3357069492340088,6.0
Sum of contribution of events ≤ t,-14,0.25948262214660645,6.0
Sum of contribution of events > t,-15,1.3752212524414062,6.0
Sum of contribution of events ≤ t,-15,0.21996831893920898,6.0
Sum of contribution of events > t,-16,1.4118916988372803,6.0
Sum of contribution of events ≤ t,-16,0.18329787254333496,6.0
Sum of contribution of events > t,-17,1.4714858531951904,6.0
Sum of contribution of events ≤ t,-17,0.1237037181854248,6.0
Sum of contribution of events > t,-18,1.5359504222869873,6.0
Sum of contribution of events ≤ t,-18,0.05923914909362793,6.0
Sum of contribution of events > t,-19,1.5951895713806152,6.0
Sum of contribution of events ≤ t,-19,0.0,6.0
Sum of contribution of events > t,0,4.76837158203125e-07,7.0
Sum of contribution of events ≤ t,0,1.5705432891845703,7.0
Sum of contribution of events > t,-1,0.09455752372741699,7.0
Sum of contribution of events ≤ t,-1,1.4759862422943115,7.0
Sum of contribution of events > t,-2,0.4681737422943115,7.0
Sum of contribution of events ≤ t,-2,1.102370023727417,7.0
Sum of contribution of events > t,-3,0.6657464504241943,7.0
Sum of contribution of events ≤ t,-3,0.9047973155975342,7.0
Sum of contribution of events > t,-4,0.769458532333374,7.0
Sum of contribution of events ≤ t,-4,0.8010852336883545,7.0
Sum of contribution of events > t,-5,0.8435776233673096,7.0
Sum of contribution of events ≤ t,-5,0.726966142654419,7.0
Sum of contribution of events > t,-6,0.9102203845977783,7.0
Sum of contribution of events ≤ t,-6,0.6603233814239502,7.0
